Solar Cell,Mono PERC 182 mm
No. of Cells,144(6 Xx 24)
Dimensions,2278 X 1134 x 30mm
Weight,27.6kg
Junction Box,IP68 rated (3 bypass diodes)
Output Cable,"Amm? (IEC), 12 AWG(UL) +400/-200mm or customized"
Connector,RYO1 or similar
Front Cover,3.2mm AR Tempered glass
