,
External Dimension,2384 x 1303 x 35 mm Anodized aluminium alloy
Weight Box,34.0 kg IP68 / 3 diodes
Solar Cells Type,PERC Mono 210 x 105mm(132 pcs) PV-CO02-xy
Front Glass,3.2 /mm AR coating tempered glass / low iron 12 AWG PV Wire UL
Frame Type Length,Portrait: 400 mm(+) / 200 mm(-) Landscape: 1200 mm(+) / 1200 mm(-)
Junction Load(Front),or customized length 5400 Pa / 113 psf
Connector Load(Rear),2400 Pa/ 50 psf*
Cable Cable,
Mechanical,
