,,,,,
Maximum Power at STC (Pmax/W),555,550,545,540,535
Power Tolerance (W),,,Ox 45,,
Optimum Operating Voltage (Vmp/V),42.12,41.96,41.80,41.64,4LAT
Optimum Operating Current (Imp/A),13.18,13.11,13.04,"1291,",12.90
Open Circuit Voltage (Voc/V),50.05,49.90,49.75,49.60,49.45
Short Circuit Current (Isc/A),14.07,14.00,13:93),13.86,US.IA)
