,,,,
Max Power Tolerance(W),0-5,0-5,0-5,0-5
Module Efficiency(%),21.73,21.91,22.08,22.26
Voltage Mpp-Vmpp(V),34.90,36.11,36.31,35.51
Current Mpp-Impp(A),47.62,17.66,47.70,17.74
Voltage Open Circuit-Voc(V),42.16,42.35,42.54,42.73
Short Circuit Current-Iso(A),18.67,18.72,18.77,18.82
