,,,,
Power Output(Wp) Voltage Mpp-Vmpp(V),464 32.72,468 32.93,472 33.15,476 33.36
Current Mpp-Impp(A),14.18,14.21,14.24,14.27
Voltage Open Circuit-Voc(V),40.18,40.37,40.56,40.75
Short Circuit Current-Isc(A),15.03,15.07,15.11,15.15
