Pmax Temperature Coe*cient Temperature,-0.34 %/°C -40%+85 °C
Voc Temperature Coe’cient Operating Cell Temperature (NOCT),-0.27 %/°C 4542 °C
Isc Temperature Coe’cient,+0.05 %/°C
Operating,
Nominal,
