Number of cells,144pcs
Size of cell (mm),166*83
Type of cell,Mono
Thickness of glass (mm),2.0
Type of frame,Anodized aluminum alloy
Junction box,IP68
Size of module (mm),2094*1038*30
Weight (kg),275
Cables/connectors,"4mm?, MC4 compatible"
