Power Gain (%),Power Output (Wp),Voltage Mpp-Vmpp (v),Current Mpp-Impp (A),Voltage Open Circuit-Voc (),_Short Circuit Current-Ise (A)
10,688,35.31,19.47,42.54,20.65
15,719,658],20.36,42.54,21.59
20,750,35.31,21.24,42.54,22.52
25,781,25.31,22.13,42.54,23.46
