,,,,,
F Maximum Power Voltage-Vwe (V),40.8,40.8,40.8,40.8,40.8
Maximum Power Current-Iup (A),11.20,11.74,12.27,12.80,13.34
Open Circuit Voltage-Voc (V),49.0,49.1,49.2,49.3,49.4
Short Circuit Current-Isc (A),11.80,12.36,12.93,13.49,14.05
Pmax gain,5%,10%,15%,20%,25%
