5 Encapsulant Material,POE/EVA
Back Glass,"2.0 mm, Heat Strengthened Glass (White Grid Glass)"
Frame,30 mm Anodized Aluminium Alloy
Junction Box,IP 68 rated
Cables,Photovoltaic Technology Cable 4.0 mm?
,Cable length 350 mm or customized length
