,,,,,
Power level,435,440,445,450,455
Pmax (W),323,327,330,334,337
vmp (Vv),37.83,38.03,38.11,«38.35,38.43
Imp (a),8.54,8.60,8.66,871,8.77
Voc (V),45.60,45.81,45.99,46.19,46.01
Isc (A),8.96,9.05,9.10,9.16,9.20
Power tolerance (%),,,0-43,,
