Maximum Power-Pmax (Wp),419,424,429,435
Maximum Power Voltage-Vmpp (V),3973,3993,40.15,40.32
Maximum Power Current-Impp (A) (NMOT) 4442°C,10.54,10.62,10.70,10.78
Open Circuit Voltage-Voc (V) -0.275% / °C 0.045% °C,48.03,48.27,48.51,48.75
Short Circuit Current-Isc (A) / -0.35% / °C,15,11.21,11.27,11.33
