"Rated Power In Watts-Pmax (Wp) N-type, MBB",560,565,570,575
Maxirnum Power Voltage-Vmpp (V) 2),4268,4284,4299,4314
Maximum Power Current-Impp (A) mm,13.12,B19,13.26,13.33
Open Circuit Voltage-Voc (V) Tempered ARC Glass,50.47,50.72,50.97,$1.23
Short Circuit Current-Isc (A),1392,14.00,14.08,14.16
"Module Efficiency (%) Aluminium Alloy, Silver",21.67%,21.86%,22.06%,22.25%
