Dimension,166mm*166mm+0. 25mm
Diagonal,223mm+0.5mm
Thickness(Si),190um+30um
,"9 busbars(silver), width 0.140.03mm"
Front Back,124 finger grids
Front Back,Blue anti-reflecting coating(silicon nitride)
Front Back,"width of back electrode(silver) 1.340.25mm,"
