,,,
Format,158.75x158.75mm+0.25mm,Tk Voltage:,-0.36%/k
Thickness,170mm+30um,Tk Current:,+0.07%/k
Front,ite anti-reflection coating (PID free),TRPONET:,0.8%
Back,"Back electrode width (silver) 1.8mm,back side cover aluminum back filed.","Rsh 230 ,, Irev <0.8A","Rsh 230 ,, Irev <0.8A"
