Format,158.75x158.75mm+0.25mm,Tk Voltage:,-0.36%/k
Thickness,170mm+30um,Tk Current:,+0.07%/k
Front,"5*0.7mm busbar(silver),106fingers,blue silicon nitride anti-reflection coating (PID free)",Tk Power:,-0.38%/k
Baek,"Back electrode width (silver) 1.8mm,back side cover aluminum back filed.","Rsh 230 Q ,",Irev <0.8A
