,
Glass,"Solar glass with anti-reflection surface treatment, 3.2 mm"
IP protection level,IP65/IP67
Bypass-Diodes,3 pcs.
Cables and connector,Junction box with MC4 (pluggable)
Cables and connector,"connectors, cable: 2 x 900 mm / 4 mm?"
Dimensions (LxWxH),1640 x 992 x 35 mm
Weight,19.3 kg
Mechanical ratings,Suction pressure of 2400 Pa approved
Mechanical ratings,(Wind speed 130 km/h with safety
