,,,,,,,,,,,,
Efficiency(%) Pmax(W),21.5 5.385,21.6 | 5.410,21.8 | 5.460 |,21.9 5.485 |,22.0 5.510 |,22.2 5.560 |,22.4 5.610 |,22.6 5.660 |,22.8 5.710 |,23.0 5.760 |,23.2 5.810 |,23.4 5.861
Vmp(V),0.530 |,0.530,| 0.530 |,0.530 |,0.530 |,0.530 |,0.530 |,0.530 |,0.530 |,0.530 |,0.530 |,0.530
Imp(A),10.160,| 10.207,| 10.302 |,10.349 |,10.396 |,10.491 |,10.585 |,10.680 |,10.774 |,10.869 |,10.963 |,11.058
Voc(V),0.625,| 0.625,| 0.625 |,0.625 |,0.625 |,0.625 |,0.625 |,0.625 |,0.049 |,0.625 |,0.625 |,0.625
