,,,
MAXIMUM) RATINGS,MAXIMUM) RATINGS,PACKAGING,CONFIGURATION
Operational Temperature |,-40~#85°C,Modules per box,35 pieces
Maximum System Voltage |,1500V DC (IEC),Modules per 40’container,770 pieces
Max Series Fuse Rating,20A,,
