,
Solar Cells,Monocrystalline silicon 166 mm (9BB)
Cell Orientation,144 cells (6 x 24)
Module Dimensions,2095x1039x30 mm
Weight,28.5 kg
Front Glass,"2.0 mm, High Trarismission, AR Coated Heat Strengthened Glass"
Encapsulant Material,POE/EVA
Back Glass,"2.0 mm, Heat Strengthened Glass (White Grid Glass)"
Frame,30. mm Anodized Aluminium Alloy
Junction Box,IP 68 rated
Cables,Photovoltaic Technology Cable 4.0 mm? Cable length 350 mm or customized length
