,,,,,,
", 10%",|Pmax(w),478,484,489,495,500
", 10%",Module efficiency (%),21.99,22.27,22.50,22.77,23.00
"o, an",pmax),522,528,534,540,546
"o, an",Module efficiency (%),24.02,24.29,24.57,9-24.84,25.12
