,
Mechanical Properties,Mechanical Properties
ell Size,210mm*105mm
lumber of Cells,120[2x(10x6)]
Aodule Dimension,"2172*1303""35mm"
Veight,
ront Glass,Anti-Reflection Coating
ear Glass,"2.0mm, Heat Strengthened Glass"
rame-,Anodized Aluminium Alloy
