,,,,,
Power level,435,440,445,450,455
Pmax (W),323,327,330,334,337
vmp (v),37.83,38.03,3811,3835,38.43
Imp (A),854,8.60,8.66,871,8.77
Voc (V),45.60,45.81,45.99,4619,46.01
Isc (A),8.96,9.05,9.10,916,9.20
Power tolerance (%),,,0-43,,
NOCT(*C),4442,4442,4442,4442,4442
