,,,,
Rated Power In Watts-Pmax (Wp),560,565,570,5/5
Maximum Power Voltage-Vmpp (V),42.68,42.84,4299,43.14
Maximum Power Current-Impp (A),13.12,B19,13.26,13.33
Open Circuit Voltage-Voe (V),50.47,50.72,50.97,S123
Short Circuit Current-Isc (A),13.92,14.00,14.08,14.16
Module Efficiency (%),21.67%,21.86%,22.06%,22.25%
