,,,,,
Current Mpp-Impp(A),17.62,"17.66""",17.70,4,APTS
Voltage Open Circuit-Voc(V),42.16,42.35,42.54,42.73,42.92
Short Circuit Current-isc(A),18.67,18.72,18.77,18.82,18.87
"*STC: Irradiance 1000W/m?, Cell","Temperature 25°C, AM",1.5,,,
Electrical Properties(NOCT*),Electrical Properties(NOCT*),Electrical Properties(NOCT*),Electrical Properties(NOCT*),Electrical Properties(NOCT*),Electrical Properties(NOCT*)
Power Output(Wp),,,,,
