Module Type,SPICN6(LAR)-60-375/IH,SPICN6(LAR)-60-375/IH,SPICN6(LAR)-60-380/IH,SPICN6(LAR)-60-380/IH,SPICN6(LAR)-60-385/IH,SPICN6(LAR)-60-385/IH
,STC,NOCT,sTc,NOCT,STC,NOCT
Maximum Power (Pmax/W),375,282,380,286,385,290
Maximum Power Voltage (Vmpp/V),35.1,32.5,353,aay,35.5,32.9
Maximum Power Current (Impp/A),10.69,8.68,10.77,8.75,10.85,8.82
Open Circuit Valtage (Voc/V),A16,39.8,ALT,39.9,A418,40.0
Short Circuit Current (Isc/A),11.50,9.23,11.61,9.32,11.72,9.42
Module Efficiency,20.9%,20.9%,21.2%,21.2%,21.5%,21.5%
