,,,,
Maximum Power-Pmax (Wp),419,424,429,435
Maximum Power Voltage-Vmpp (V),3973,3993,40.15,40.32
Maximum Power Current-Impp (A),10.54,10.62,10.70,10.78
Open Circuit Voltage-Voe (V),48.03,48.27,48.51,48.75
Short Circuit Current-Isc (A),115,1.21,1.27,11.33
