,Tests Und Zertifizierungen
Standardtests,"IEC 61215, IEC 61730"
Brandschutz,Klasse C (IEC 61730)
Qualitatsmanagement eis Zertifizierungen,"ISO 9001:2015, ISO 14001:2015"
EHS-Konformitat,"ISO 45001-2018, Recycling"
Ammoniaktest,IEC 62716
Sandtest,IEC 60068-2-68
Salzspruhtest,IEC 61701 (héchste Stufe bestanden)
PID-Test,IEC 62804
