,,,,,
Power Output(Wp),464,468,A72,476,479
Voltage Mpp-Vmpp(V),32.72,32.93,33.15,33.36,33.50
Current Mpp-Impp(A),14.18,14.21,14.24,14.27,14.30
Voltage Open Circuit-Voc(V),40.18,40.37,40.56,40.75,40.94
Short Circuit Current-Isc(A),15.03,15.07,15.11,"16.15,",15.19
