,,
Operating Temperature,[C],-40 ~+90
Maximum System Voltage,Mv,"1,000 (UL), 1000 (IEC)"
Maximum Series Fuse Rating,[Al,20
Mechanical Test Load* (Front) _|,[Pa/psf],"5,400/113"
Mechanical Test Load* (Rear),[Pa/psf],4000/84
