,
Max. System Voltage,DC 1500V(IEC)
Operating Temperature,-40°C ~ +85°C |
Max. Fuse Rating,25A
Frontside Max. Loading,5400Pa ]
Backside Max. Loading,2400Pa
Fire Resistance,IEC Class C |
