,
1EC61215:2016; IEC 61730:2016;,UL1703; UL61730
IEC62804,PID
1EC61701,Salt Mist
IEC62716,Ammonia Resistance
IEC60068,Dust and Sand
1EC61215,Hailstone
Fire Type (UL61730):Type1,
