,,,,,
Maximum Power at STC (Pmax/W),555,550,545,540,535
Power Tolerance (W),,,O~45,,
Optimum Operating Voltage (Vmp/V),42.12,41.96,41.80 !,,
"""Optimum Operating Current (Imp/A)",13.18,ii,,,
Open Circuit Voltage (Voc/V),,49.90,49.75,,
_ Shi uit C (Isc/A),,u ab,sae,,
Module Efficiency,,21.3%,21.1%,,
