,
,OHSAS 18001
Salt Mist Corrosion Test,IEC 61701:2012 Severity 6
‘Ammonia Corrosion Test,IEC 62716:2013
Fire Rating,Class C (UL 790)
Solar Module Product Warranty,25 Years
Solar Module Output Warranty,Linear Warranty*
"“Improved: 1st year 98%, from 2-24th year: 0.33%/year","dawn, after 25th year: 90.08%"
