,,,,,
Peak Power Watts-Pmax (Wp)*,430,435,440,4a5,450
Maximum Power Voltage-Vive (V/),40.5,40.8,411,41.4,417
Maximum Power Current-lime (A),10.62,10.67,10.71,10.75,10.80
Open Circuit Voltage-Voc (V),48.7,48.9,49.1,49.3,49.5
Short Circuit Current-Isc (A) Module (%),11.20 19.7,11.29 20.0,11.37: 20.2,11.45 20.4,11.53 20.6
Efficiency nm Power Tolerance-Pmax (W),,,Or+5,,
