,,,,,
Pmax gain (%),,,,,
Maximum Power (Pmax/W),633,690,748,805,863
Maximum Power Voltage (Vmpp/V),43.14,43.14,43.14,43.14,43.14
Maximum Power Current (lmpp/A),14.66,16.00,17133,18.66,20.00
