,,,,
Maximum Power at NMOT (Pmax/W),416.0,412.2,,404.6
(HeniinunUpertie Veloce (ep),39.19,,,3
Optimum Operating Current (Imp/A),10.46,10.40,10.34,10.29
Open Circuit Voltage (Voc/V),47.32,47.18,47.04,46.89
Short Circuit Current (Isc/A),11.30,11.24,11.18,11.13
