,
Cell Type,N-IBC 166x83mm(Half-Cell}
No. of Cells,120(6x20)
Junction Box,Ip68 with three bypass diodes
Output Cable,"4mrn?, 1200mm with MC4 (Length can be customed)"
Glass,3.2mm coated tempered glass
Frame,Anodized aluminum alloy frame
Dimension,1727x1039x30mm.
Weight,20.0kg
