,
Solar Cell,Mono PERC 182 mm
No. of Cells,144(6 x 24)
Dimensions,2278 X 1134 * 30mm
Weight,27.6kg
Junction Box,IP68 rated (3 bypass diodes)
Orta CaDe,"4mm? (/EC), 12 AWG(UL) +400/-200mm or customized"
Connector,RYO1 or similar
Front Cover,3.2mm AR Tempered glass
Container,"36 pes/Pallet, 720 pes/40"" HC"
