,
Cell Properties (Material/Type),Monocrystalline/N-type
Cell Maker,LG
Cell Configuration,60 Cells (6 x 10)
Number of Busbars,12EA
Module Dimensions (Lx Wx H),"1,686mm x 1,016mm x 40mm"
Weight,17.1kg
Glass (Material),Tempered Glass with AR Coating
Backsheet (Color),White
Frame (Material),Anodized Aluminium
Junction Box (Protection Degree),IP 68 with 3 Bypass Diodes
Cables (Length),"1,000mm x 2EA"
Conhector (Type/Maker),MC 4/MIC
