,
Nominal Module Operating Temperature (NMOT),44427°C
Temperature Coefficient of VOC,-0.275% / °C
Temperature Coefficient of ISC,0.045% /°C
Temperature Coefficient of PMAX,-0.35% / °C
Operational Temperature,-40°C~+85°C
Maxirnum System Voltage,TSOOVDC
Max Series Fuse Rating,25A
